Name,Price,Color,Storage,Stars,Rating Score,Display,RAM,Battery,Back Camera,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC,img_URL,brand,Popularity,RepairCost,Resale_value,Parts_availability
Xiaomi 14,"309,999","Black,White,Jade Green",512GB - 12GB RAM,5, 1 Ratings ,6.3 Inches,8/12 GB,4610 mAh,50 MP + 50 MP + 50 MP,5/30/2023,Dual SIM,no Data,193 g,Android 14 OS,6.3 Inches,2670 x 1200 Pixels,"AMOLED Capacitive Touchscreen, 1B, Multitouch",Corning Gorilla Glass Victus,128/256 GB,No,Qualcomm Snapdragon 8 Gen 3,Qualcomm Adreno,4610 mAh,32 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/xiaomi-14-pakistan-priceoye-wl6f4-500x500.webp,Xiaomi,70,46499.85,260399.16,70
QMobile Qsmart Blaze,"16,899","Midnight Black,Jewelry Blue,Pixie Green",64GB - 4GB RAM,5,15 Ratings ,6.6 Inches,8GB (4GB Extended Ram),5000 mAh,AI Triple Rear 13 MP + 2 MP + 2 MP,11/28/2023,"Dual Sim, Dual Standby (Nano-SIM)",no Data,no Data,Android 13,6.6 Inches,720 x 1600 Pixels,IPS LCD Capacitive Touchscreen,no Data,64GB,"microSD Card, (supports upto 32GB)",1.6 Ghz Octa Core,no Data,"5000 mAh , (Li-ion Non removable)",8 MP,LED Flash,no Data,LED Flash,Yes,Yes,Yes,Yes,no Data,Yes,Yes,No,https://images.priceoye.pk/qmobile-qsmart-blaze-pakistan-priceoye-vs5zz-500x500.webp,QMobile,70,5294.921423,14195.16,70
GFive Mega Music,"3,499","Golden,Purple Red,Sky Blue,Dark Blue",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3500 mAh,0.08 MP,7/7/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,2.4 Inches,320 x 240,no Data,no Data,Standard,Support Up To 32 GB,no Data,no Data,3500 mAh,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/gfive-mega-music-pakistan-priceoye-q300t-500x500.webp,GFive,70,1123.382884,2939.16,70
UMIDIGI A15C,"34,699","Space Grey,Jade Green,Lavender Purple,Pearl White,Graphite Black",128GB - 8GB RAM,5, 1 Ratings ,6.7 inches,8+8GB Extended RAM,5000 mAh,48MP+8MP+5MP,2/20/2024,Dual sim,167.6mm x 75.3mm x 8.6mm,195g,Android 13,6.7 inches,1650 × 720,no Data,no Data,128GB,no Data,"Unisoc T606, Octa-Core",no Data,5000mAh,8MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,unspecified,Yes,No,https://images.priceoye.pk/umidigi-a15c-pakistan-priceoye-c8xma-500x500.webp,UMIDIGI,70,10515.81888,29494.15,40
Calme C251,"3,399","Gold Black,Black Blue,White Blue,White Orange,Black Orange",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,1800 mAh,Smart Camera,2/28/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,1800 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/calme-c251-pakistan-priceoye-vek5b-500x500.webp,Calme,70,1091.473153,2855.16,70
REMAXX R110,"2,349","Green,Blue,Black,Yellow,Dark Blue",STANDARD,5,2 Ratings ,1.4 Inches,Standard,1200 mAh,no Data,9/14/2022,Triple SIM,no Data,no Data,Proprietary OS,1.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,1200 mAh,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/remaxx-r110-pakistan-priceoye-nzv11-500x500.webp,REMAXX,70,755.7243456,1949.67,70
REMAXX Star,"2,899","Blue,Gold",STANDARD,5, 1 Ratings ,1.8 inches,Standard,1200 mAh,VGA Camera,10/6/2022,Dual SIM,no Data,no Data,Proprietary OS,1.8 inches,no Data,QVGA,no Data,Standard,no Data,no Data,no Data,1200 mAh,no Data,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,https://images.priceoye.pk/remaxx-star-pakistan-priceoye-ad3ce-500x500.webp,REMAXX,70,931.7514225,2406.17,70
GFive music 400,"3,099","Green,Black,Dark Blue",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3500 mAh,Digital Camera,4/3/2024,Dual sim,no Data,no Data,Spredtrum Platform,2.4 Inches,no Data,no Data,no Data,Standard,Micro SD card (support upto 32GB),no Data,no Data,3500 mAh,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,No,no Data,no Data,No,https://images.priceoye.pk/gfive-music-400-pakistan-priceoye-3aypu-500x500.webp,GFive,70,995.6747302,2634.15,40
GRESSO 4sim,"3,500",Golden,STANDARD,5, 1 Ratings ,2.4 Inches,no Data,3200 mAh,Yes,7/6/2022,4 Sim,no Data,no Data,no Data,2.4 Inches,no Data,no Data,no Data,no Data,Up to 16 GB,no Data,no Data,3200 MAh Battery,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/gresso-4sim-pakistan-priceoye-glf14-500x500.webp,GRESSO,70,1123.701923,2905,70
Calme Spark 1,"3,399","Black Red,White Red",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,2200 mAh,Smart Camera,6/15/2023,"Dual Sim, Dual Standby",no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,2200 mAH,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/calme-spark-1-pakistan-priceoye-9bjin-500x500.webp,Calme,70,1091.473153,2855.16,70
me Mobile I251,"3,499","Black,Black Blue,Black Red",STANDARD,5,3 Ratings ,2.4 Inches,no Data,1800 mAh,Yes,7/5/2022,Dual Sim,12 × 23 × 56 cm,0.25 kg,no Data,2.4 Inches,no Data,no Data,no Data,no Data,Yes,no Data,no Data,1800mAh Battery,No,No,No,No,Yes,No,No,No,No,Yes,No,No,https://images.priceoye.pk/me-mobile-i251-pakistan-priceoye-t67d6-500x500.webp,me,70,1123.382884,2904.17,70
Calme M221,"3,249","White,Blue,Grey",STANDARD,5,2 Ratings ,2.4 Inches,Standard,2000 mAh,Smart Camera,8/28/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,2000 mAh,No,No,No,No,Yes,Yes,no Data,No,No,Yes,No,No,https://images.priceoye.pk/calme-m221-pakistan-priceoye-8ikpu-500x500.webp,Calme,70,1043.586923,2729.16,70
Faywa L7,"2,549","Black,Blue,Red",STANDARD,5, 1 Ratings ,1.8 Inches,Standard,1200 mAh,Digital Camera,7/11/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,1.8 Inches,128 x 160,no Data,no Data,Standard,microSDXC (dedicated slot),no Data,no Data,1200 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/faywa-l7-pakistan-priceoye-gxhlk-500x500.webp,Faywa,70,819.7745763,2141.16,70
GFive Rocky,"2,999","Black,Golden",STANDARD,5, 1 Ratings ,2.8 Inches,Standard,3000 mAh,Smart camera,4/8/2024,Dual sims,no Data,no Data,Proprietary,2.8 Inches,no Data,no Data,no Data,Standard,Support Up To 32 GB,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,No,no Data,no Data,No,https://images.priceoye.pk/gfive-rocky-pakistan-priceoye-y193q-500x500.webp,GFive,70,963.7188456,2549.15,40
GFive Champ,"3,599",Black,STANDARD,5, 1 Ratings ,2.4 Inches,32 MB,1800 mAh,0.08 MP,6/2/2023,"Dual Sim, Dual Standby",no Data,no Data,Proprietary OS,2.4 Inches,240 x 320 Pixels,TFT Screen,no Data,32 MB,Yes,no Data,no Data,1800 Mah,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/gfive-champ-pakistan-priceoye-kd1bu-500x500.webp,GFive,70,1155.281076,3023.16,70
Faywa J2 CLASSIC,"3,149","Black,Red,Sky Blue",STANDARD,5, 1 Ratings ,2.4 Inches,no Data,3000 mAh,Smart Digital Camera,9/28/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,no Data,Yes,Yes,no Data,no Data,No,no Data,No,No,https://images.priceoye.pk/faywa-j2-classic-pakistan-priceoye-07rz9-500x500.webp,Faywa,70,1011.648346,2645.16,70
VGO TEL I550,"3,390","Black Red,White Orange,Black Blue,Black Grey",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3000 mAh,1.3 MP,2/8/2022,Dual SIM,no Data,no Data,no Data,2.4 Inches,no Data,QVGA,no Data,Standard,Micro SD card (support upto 16GB),no Data,no Data,3000 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/vgo-tel-pakistan-priceoye-zd0zw-500x500.webp,VGO,70,1088.600712,2813.7,70
Faywa E2000 Music,"3,525","Black,Red,Green",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3000 mAh,No,6/8/2023,"Dual Sim, Dual Standby (Micro-SIM)",no Data,no Data,Proprietary OS,2.4 Inches,320 x 240 Pixels,no Data,No,Standard,microSDXC (dedicated slot),no Data,no Data,3000 mah,No,No,No,No,No,No,No,No,No,Yes,no Data,No,https://images.priceoye.pk/faywa-e2000-music-pakistan-priceoye-x1ceq-500x500.webp,Faywa,70,1131.677524,2961,70
Gresso A10,"3,300","Blue,Black,Blue Green",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3400 mAh,Smart camera,4/4/2024,Dual simS,no Data,no Data,Proprietary,2.4 Inches,no Data,no Data,no Data,Standard,no Data,no Data,no Data,3400 mAh,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,No,no Data,No,No,https://images.priceoye.pk/gresso-a10-pakistan-priceoye-1b7y5-500x500.webp,Gresso,70,1059.871154,2805,40
REMAXX Eco,"2,499","Blue,Black",STANDARD,5, 1 Ratings ,1.8 inches,Standard,1200 mAh,VGA Camera,10/6/2022,Dual SIM,no Data,no Data,Proprietary OS,1.8 inches,no Data,QVGA,no Data,Standard,no Data,no Data,no Data,1200 mAh,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/remaxx-eco-pakistan-priceoye-mozyk-500x500.webp,REMAXX,70,803.7663456,2074.17,70
Faywa F4,"2,899","Blue,Red,Sky Blue,Dark Blue",STANDARD,5, 1 Ratings ,1.8 Inches,Standard,3000 mAh,Digital Camera,7/11/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,1.8 Inches,128 x 160,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/faywa-f4-pakistan-priceoye-1k9fo-500x500.webp,Faywa,70,931.7514225,2435.16,70
KXD Classic Core A09,"20,499","Black,White",128GB - 4GB RAM,5, 1 Ratings ,6.6 Inches,4 GB (8 GB Expandable),4000 mAh,13MP + 5 MP + 2MP,5/3/2024,Dual sim,161.1*75.9**1600,no Data,Android OS V14.0,6.6 Inches,720*1600,no Data,no Data,128 GB,no Data,Octa-core processor,no Data,4000 mAh,8MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,no Data,Yes,Yes,no Data,https://images.priceoye.pk/kxd-classic-core-a09-pakistan-priceoye-k2l42-500x500.webp,KXD,70,6380.325576,17424.15,40
Tecno Pova Neo,"30,199","Obsidian,Geek Blue,Powehi",64GB - 4GB RAM,5,51 Ratings ,6.8 inches,4 GB,6000 mAh,13 MP,12/9/2021,"Dual Sim, Dual Standby (Nano-SIM)",171.4 x 77.3 x 9.1 mm,no Data,Android 11 OS,6.8 inches,720 x 1640 pixels,HD + Dot Notch Display,no Data,64 GB,"microSD Card, (supports up to 128GB)",MediaTek Helio G25 (12 nm),PowerVR GE8320,"(Li-Po Non removable), 6000 mAh",8 MP,Yes,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/tecno-pova-neo-pakistan-priceoye-jcsum-500x500.webp,Tecno,70,9230.457923,24763.18,70
Realme C21Y,"33,299","Cross Blue,Cross Black","32GB - 3GB RAM,64GB - 4GB RAM",5,15 Ratings ,6.5 inches,3/4GB,5000 mAh,13MP+2MP+2MP,7/2/2021,"Dual Sim, Dual Standby (Nano-SIM)",164.5 x 76 x 9.1 mm,200 g,Android 11 OS,6.5 inches,720 x 1600 pixels,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",no Data,32/64 GB,microSDXC (dedicated slot),Unisoc T610 (12 nm),Mali-G52,"(Li-Po Non removable), 5000 mAh",5 MP,No,1080p@30fps,Yes,1080p@30fps,YES,Yes,Yes,No,No,Yes,No,https://images.priceoye.pk/realme-c21y-pakistan-priceoye-kkmee-500x500.webp,Realme,70,10118.43265,27305.18,70
Honor 90,"151,899","Peacock Blue,Emerald Green,Midnight Black",256GB - 8GB RAM,5, 1 Ratings ,6.7 inches,12/16 GB,5000 mAh,200 MP + 12 MP + 2 MP,5/29/2023,"Dual SIM (Nano-SIM, eSIM, dual stand-by) or Dual SIM (Nano-SIM, dual stand-by)",161.9 x 74.1 x 7.8 mm,183 g,"Android 13, MagicOS 7.1",6.7 inches,1200 x 2664 pixels,"AMOLED, 1B colors, 120Hz, HDR10+, 1600 nits (peak)",no Data,256/512 GB,No,Qualcomm Snapdragon 7 Gen 1 Accelerated Edition,Adreno 644,"Li-Po 5000 mAh, non-removable",50 MP,No,"4K@30fps, 1080p@30fps, gyro-EIS",Yes,"4K@30fps, 1080p@30/60fps, gyro-EIS",Yes,Yes,Yes,Yes,No,Yes,Yes,https://images.priceoye.pk/honor-90-pakistan-priceoye-3311x-500x500.webp,Honor,70,35763.53873,127595.16,70
Sparx S7,"14,299","Midnight Blue,Twilight Blue",32GB - 2GB RAM,5, 1 Ratings ,5.4 Inches,2 GB,4000 mAh,5 MP + CIF + CIF,10/13/2023,"Dual Sim, Dual Standby (Nano-SIM)",no Data,no Data,Android 12 Go edition,5.4 Inches,480 x 960 Pixels,IPS LCD,no Data,32 GB,no Data,Unisoc SC9832E,Power VR GE8322,4000 mAh,2 MP,no Data,Yes,Yes,Yes,Yes,no Data,no Data,No,no Data,Yes,No,https://images.priceoye.pk/sparx-s7-pakistan-priceoye-flzbw-500x500.webp,Sparx,70,4501.718423,12011.16,70
Faywa F3,"2,649","Black,Blue,Green",STANDARD,5, 1 Ratings ,1.8 Inches,Standard,3000 mAh,Digital Camera,7/11/2023,Dual SIM + dual stand-by,no Data,no Data,Proprietary OS,1.8 Inches,128 x 160,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,Yes,Yes,Yes,No,No,No,no Data,No,No,https://images.priceoye.pk/faywa-f3-pakistan-priceoye-3pn5w-500x500.webp,Faywa,70,851.782384,2225.16,70
QMobile E400i,"3,599","Black,Black Blue,Black Red",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,1200 mAh,Smart Camera,2/3/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,1200 mAh battery with super battery mode,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-e400i-pakistan-priceoye-d7v7e-500x500.webp,QMobile,70,1155.281076,3023.16,70
QMobile Music 400 Pro,"3,777","Black,Black Red,Black Blue,Green,Black Green",STANDARD,5,2 Ratings ,2.4 Inches,Standard,3000 mAh,Smart Camera,2/3/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,no Data,no Data,no Data,3000 mAh battery with super battery mode,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-music-400-pro-pakistan-priceoye-cv4au-500x500.webp,QMobile,70,1212.03131,3172.68,70
QMobile SL100 Power,"4,299","Black,Black Blue,White Silver,Dark Blue",STANDARD,5,3 Ratings ,2.4 Inches,Standard,4000 mAh,Smart Camera,3/9/2022,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,4000 mAh with Super Battery Mode,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-sl100-power-pakistan-priceoye-fiabg-500x500.webp,QMobile,70,1378.245346,3568.17,70
QMobile SL100 Big,"4,299","Golden,Black Black,Blue Black",STANDARD,5,4 Ratings ,2.8 Inches,Standard,2800 mAh,Smart Camera,3/1/2023,Dual Sim,no Data,no Data,Proprietary OS,2.8 Inches,no Data,Large Display,no Data,Standard,Yes,no Data,no Data,2800 mAh with Super Battery Mode,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/qmobile-sl100-big-pakistan-priceoye-7fp4l-500x500.webp,QMobile,70,1378.245346,3611.16,70
Sparx S9,"12,799","Black,Black Red",32GB - 2GB RAM,5,15 Ratings ,6.1 inches,2 GB,3000 mAh,13 MP + CIF,3/14/2023,Dual SIM Nano,154.5 x 73 x 10mm,no Data,Android 12 OS,6.1 inches,720 x 1600 Pixels,no Data,no Data,32 GB,"microSD Card, (supports up to 128GB)",Unisoc SC9832E,Mali-T820,"(Li-Po Non removable), 3000 mAh",5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/sparx-s9-pakistan-priceoye-exf6k-500x500.webp,Sparx,70,4040.55323,10751.16,70
Club Mobile A1000,"3,799","Black,White,Gray,Black Grey",STANDARD,5,4 Ratings ,2.4 Inches,Standard,3500 mAh,Digital Camera,2/27/2023,Dual Sim (GSM + GSM),no Data,no Data,Proprietary OS,2.4 Inches,no Data,QQVGA High Resolution Display,no Data,Standard,Yes,no Data,no Data,3500 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/club-mobile-a1000-pakistan-priceoye-q1mdv-500x500.webp,Club,70,1219.042846,3191.16,70
E-Tachi E4i,"4,599",Black,STANDARD,5, 1 Ratings ,2.4 inches,Standard,3800 mAh,Smar,12/22/2022,Single SIM,no Data,no Data,Proprietary OS,2.4 inches,no Data,QVGA,no Data,Standard,"T-Flash card, Up to 16GB",no Data,no Data,3800mAh,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/e-tachi-e4i-pakistan-priceoye-5k252-500x500.webp,E-Tachi,70,1473.628384,3817.17,70
Nokia 105 2022,"6,199","Charcoal,Pink,Blue",STANDARD,5,96 Ratings ,1.77 Inches,Standard,1000 mAh,no Data,7/15/2021,Dual Sim,no Data,no Data,Proprietary OS,1.77 Inches,120 x 160 pixels,no Data,no Data,Standard,no Data,no Data,no Data,1000 mAh,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/nokia-105-2022-pakistan-priceoye-rlpvb-500x500.webp,Nokia,70,1980.584076,5083.18,70
E-Tachi B12,"2,599","Black,Cyan,Grey,White,Brown,Coffee,Blue",STANDARD,5,5 Ratings ,1.77 Inches,Standard,1200 mAh,no Data,12/21/2022,Dual Sim,no Data,no Data,Proprietary OS,1.77 Inches,no Data,QVGA Display,no Data,Standard,Yes,no Data,no Data,1200 mAh,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/e-tachi-b12-pakistan-priceoye-aq6e6-500x500.webp,E-Tachi,70,835.7799225,2157.17,70
E-Tachi E5310 Lite,"3,799","Black,Gold,Blue,White,Yellow",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,2000 mAh,no Data,3/7/2023,Dual Sim,124.7*52.3*13mm,no Data,Proprietary OS,2.4 Inches,no Data,QVGA Display,no Data,Standard,Yes,no Data,no Data,2000 mAh,no Data,no Data,no Data,Yes,no Data,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/e-tachi-e5310-lite-pakistan-priceoye-ww3qt-500x500.webp,E-Tachi,70,1219.042846,3191.16,70
XMobile X3,"2,899","Blue Black,Grey,Black Gold",STANDARD,5,2 Ratings ,1.77 Inches,Standard,2800 mAh,Smart Camera,2/7/2023,Dual Sim,no Data,no Data,Proprietary OS,1.77 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,2800 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/xmobile-x3-pakistan-priceoye-jmw5d-500x500.webp,XMobile,70,931.7514225,2435.16,70
XMobile F6 Plus,"3,899","Black Red,Gold Black,White Red,Black,Red",STANDARD,5,3 Ratings ,2.4 Inches,Standard,3000 mAh,Smart Camera,12/21/2022,Quad Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/xmobile-f6-plus-pakistan-priceoye-l8myf-500x500.webp,XMobile,70,1250.906423,3236.17,70
GRESSO R106,"2,799","Black,Red,Light Blue,Dark Blue",STANDARD,5, 1 Ratings ,1.8 Inches,Standard,1000 mAh,Smart Camera,2/15/2023,Dual Sim,no Data,no Data,Proprietary OS,1.8 Inches,no Data,LCD Display,no Data,Standard,no Data,no Data,no Data,1000 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/gresso-r106-pakistan-priceoye-r5hge-500x500.webp,GRESSO,70,899.772461,2351.16,70
Nokia C31,"23,499","Charcoal,Cyan,Mint","64GB - 4GB RAM,128GB - 4GB RAM",5,30 Ratings ,6.75 inches,4 GB,5050 mAh,13 MP + 2 MP + 2 MP,9/1/2022,"Dual SIM (Nano-SIM, dual stand-by)",169.2 x 78 x 8.6 mm,200 g,Android 12,6.75 inches,720 x 1600 pixels,IPS LCD,no Data,64/128 GB,microSDXC (dedicated slot),Unisoc SC9863A,IMG8322,"Li-Po 5050 mAh, non-removable",5 MP,No,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/nokia-c31-pakistan-priceoye-vtkld-500x500.webp,Nokia,70,7273.405961,19504.17,70
E-Tachi B222,"2,999",Black,STANDARD,5, 1 Ratings ,1.8 Inches,32 MB,2500 mAh,0.08 MP,6/2/2023,"Dual Sim, Dual Standby",15.2 mm,0.5 kg,no Data,1.8 Inches,320 x 240,no Data,no Data,32 MB,Yes,no Data,no Data,2500 mAh,No,No,No,No,Yes,Yes,no Data,No,No,Yes,No,No,https://images.priceoye.pk/e-tachi-b222-pakistan-priceoye-0gkjr-500x500.webp,E-Tachi,70,963.7188456,2519.16,70
Itel Magic 3 Titan,"5,499","Deep Blue,Black,Champagne Gold",STANDARD,5,78 Ratings ,2.8 inches,4MB,4000 mAh,0.08 MP,1/4/2022,Dual SIM,140 x 59 x 13.5 mm,no Data,no Data,2.8 inches,240 x 320,QVGA,no Data,4 MB,T-Flash - up to 32GB,no Data,no Data,4000 mAh,no Data,No,No,Yes,Yes,Yes,No,No,No,no Data,No,No,https://images.priceoye.pk/itel-magic-3-titan-pakistan-priceoye-gta2d-500x500.webp,Itel,70,1759.154423,4564.17,70
E-Tachi E5310,"3,749","Black,Blue,White,Yellow,Gold",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,2000 mAh,Smart Camera,2/18/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,2000 mAh,no Data,no Data,no Data,Yes,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/e-tachi-e5310-pakistan-priceoye-wxiss-500x500.webp,E-Tachi,70,1203.10673,3149.16,70
me Mobile Magic Power,"2,749","White,Black Gold,Dark Blue Black",STANDARD,5,4 Ratings ,1.8 Inches,Standard,3000 mAh,Smart Camera,2/8/2023,Dual Sim,no Data,no Data,Proprietary OS,1.8 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/me-mobile-magic-power-pakistan-priceoye-e0hlu-500x500.webp,me,70,883.7786533,2309.16,70
me Mobile M-1110,"2,299","Red,Yellow",STANDARD,5, 1 Ratings ,1.8 inches,8 MB,1200 mAh,Smart Camera,7/19/2022,Dual Sim,no Data,no Data,Proprietary OS,1.8 inches,no Data,QVGA,no Data,8 MB,Yes,no Data,no Data,1200mAh,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,https://images.priceoye.pk/me-mobile-m-1110-pakistan-priceoye-ddlo3-500x500.webp,me,70,739.7045763,1908.17,70
GFive Don,"2,849","Black,White,Green,Gold,Coffee",STANDARD,5,4 Ratings ,1.8 Inches,Standard,3000 mAh,0.08 MP,6/16/2023,Dual Sim,no Data,no Data,no Data,1.8 Inches,128 x 160,no Data,no Data,Standard,Yes,no Data,no Data,3000 mAh,No,No,No,no Data,Yes,Yes,No,No,No,FM Radio,No,No,https://images.priceoye.pk/gfive-don-pakistan-priceoye-gzdxf-500x500.webp,GFive,70,915.763384,2393.16,70
ZTE Blade A31 Plus,"15,999","Grey,Blue",32GB - 2GB RAM,5,15 Ratings ,6.0 inches,2 GB,3000 mAh,8 MP,4/11/2022,"Dual SIM (Nano-SIM, dual stand-by)",159.2 x 77.5 x 9.6 mm,no Data,Android R (Go edition),6.0 inches,480 x 960 pixels,IPS LCD,no Data,32 GB,microSDXC,Powerful Octa-Core(1.6GHzx4)+(1.2GHzx4) UNISOC 9863A,GE8322,"Li-Ion 3000 mAh, non-removable",5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/zte-blade-a31-plus-pakistan-priceoye-j1rv6-500x500.webp,ZTE,70,5021.233846,13279.17,70
GFive Rose,"3,299","Black Blue,Black Orange,Black Red,White Red",STANDARD,5, 1 Ratings ,2.4 Inches,Standard,3000 mAh,no Data,2/14/2023,Dual Sim,no Data,no Data,Proprietary OS,2.4 Inches,no Data,LCD Display,no Data,Standard,Yes,no Data,no Data,3000 mAh,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/gfive-rose-pakistan-priceoye-hk5og-500x500.webp,GFive,70,1059.551884,2771.16,70
me Mobile L788,"2,599","Black,Black Red,Sky Blue Black,White Black",STANDARD,5, 1 Ratings ,1.8 Inches,Standard,1200 mAh,Smart Camera,2/8/2023,Dual Sim,no Data,no Data,Proprietary OS,1.8 Inches,no Data,no Data,no Data,Standard,Yes,no Data,no Data,1200 mAh,no Data,no Data,no Data,no Data,Yes,Yes,no Data,no Data,no Data,Yes,no Data,no Data,https://images.priceoye.pk/me-mobile-l788-pakistan-priceoye-y7r54-500x500.webp,me,70,835.7799225,2183.16,70
